"Story","Title","Result","Date","Stability","Duration (s)"
"Blibli login","beli minyak","SUCCESS","2017-08-14T18:09:06.760+07:00","0.0","44.87"
"Blibli login","login dulu gan","PENDING","2017-08-14T18:08:37.912+07:00","0.0","28.82"
